no,shopname,localname,code1,codename1,code2,codename2,code3,codename3,code4,codename4,citycode,city,gucode,gu,dongcode,dong,jibuaddress,address,oldpostcode,postcode,lng,lat
22523548,동산,신천지부,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,"부동산 자문 및 중개업",11,서울특별시,11500,강서구,1150010300,화곡동,"서울특별시 강서구 화곡동 998-6","서울특별시 강서구 화곡로 305",157010,7686,""126.849121964707"",""37.5516066125605""
22418136,우장산레인보우,,D,소매,D06,가방/신발/액세서리,D06A09,우산/우의판매,G47599,"그외 기타 분류안된 가정용품 소매업",11,서울특별시,11260,중랑구,1126010500,망우동,"서울특별시 중랑구 망우동 518-6","서울특별시 중랑구 봉우재로 214",131230,2174,""127.096711053041"",""37.5947130228738""
22248582,천가우체국,,F,생활서비스,F04,운송/배달/택배,F04B08,우체국/우편물취급소,J61100,우편업,26,부산광역시,26440,강서구,2644011900,성북동,"부산광역시 강서구 성북동 102-1","부산광역시 강서구 선창길 68",618410,46769,""128.834181781071"",""35.0625158072304""
22248654,우신공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,"부동산 자문 및 중개업",26,부산광역시,26320,북구,2632010200,화명동,"부산광역시 북구 화명동 1412-1","부산광역시 북구 금곡대로324번길 6",616120,46531,""129.014509159055"",""35.2370764957131""
22478753,강남솔라,,F,생활서비스,F15,주택수리,F15A03,배관난방보일러,F42201,"배관 및 냉·난방 공사업",11,서울특별시,11560,영등포구,1156013300,대림동,"서울특별시 영등포구 대림동 1123","서울특별시 영등포구 도림천로 431",150070,7448,""126.899676083561"",""37.4876640340721""
22384693,오행철학원,,F,생활서비스,F11,개인서비스,F11A02,운명감정작명,S96992,"점술 및 유사 서비스업",11,서울특별시,11200,성동구,1120011100,금호동3가,"서울특별시 성동구 금호동3가 1387-1","서울특별시 성동구 장터1가길 18",133807,4724,""127.017801466675"",""37.5485079484649""
22384921,바인학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,"일반 교과 학원",11,서울특별시,11290,성북구,1129013300,정릉동,"서울특별시 성북구 정릉동 289-33","서울특별시 성북구 보국문로 86",136100,2711,""127.008530098292"",""37.6118998309355""
22386221,유화주유소,,F,생활서비스,F16,주유소/충전소,F16A01,주유소,G47711,"차량용 주유소 운영업",11,서울특별시,11230,동대문구,1123010900,휘경동,"서울특별시 동대문구 휘경동 333-5","서울특별시 동대문구 이문로 18",130090,2446,""127.055232330913"",""37.5892703645452""
22452814,지코스모,,D,소매,D05,의복의류,D05A01,일반의류,G47416,"셔츠 및 기타 의복 소매업",11,서울특별시,11560,영등포구,1156010100,영등포동,"서울특별시 영등포구 영등포동 618-496","서울특별시 영등포구 경인로 846",150030,7306,""126.907647192475"",""37.51566141404""
22401285,현대공인중개사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,"부동산 자문 및 중개업",11,서울특별시,11440,마포구,1144010700,마포동,"서울특별시 마포구 마포동 35-1","서울특별시 마포구 마포대로 15",121737,4165,""126.94397362005"",""37.5386440637339""
22286498,다모아인쇄소,,F,생활서비스,F12,광고/인쇄,F12A01,인쇄종합,C18119,"기타 인쇄업",11,서울특별시,11140,중구,1114015200,주교동,"서울특별시 중구 주교동 273-11","서울특별시 중구 을지로27가길 8",100330,4546,""126.999516003981"",""37.5677809410943""
22387585,이롬황성주생식,,D,소매,D10,건강/미용식품,D10A02,생식판매,G47216,"건강보조식품 소매업",11,서울특별시,11215,광진구,1121510100,중곡동,"서울특별시 광진구 중곡동 191-138","서울특별시 광진구 동일로74길 28-4",143220,4907,""127.079380028801"",""37.5666466765061""
22388303,메디팜한솔약국,,S,의료,S02,약국/한약방,S02A01,약국,G47811,"의약품 및 의료용품 소매업",11,서울특별시,11200,성동구,1120010700,행당동,"서울특별시 성동구 행당동 346","서울특별시 성동구 행당로 82",133777,4717,""127.027512774894"",""37.5562382207618""
22388334,대한민국노래방,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,"노래연습장 운영업",11,서울특별시,11215,광진구,1121510700,화양동,"서울특별시 광진구 화양동 7-39","서울특별시 광진구 동일로22길 96",143914,5018,""127.069353761939"",""37.5409241910981""
22402049,삼성부동산,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,"부동산 자문 및 중개업",11,서울특별시,11290,성북구,1129013300,정릉동,"서울특별시 성북구 정릉동 777-7","서울특별시 성북구 보국문로 154",136100,2701,""127.004184771804"",""37.6166927964557""
22423742,서울남부범죄피해자지원센타,,F,생활서비스,F19,법무세무회계,F19B01,법무관련서비스-종합,,,11,서울특별시,11470,양천구,1147010100,신정동,"서울특별시 양천구 신정동 313-1","서울특별시 양천구 신월로 386",158737,8088,""126.863930482322"",""37.5221509639272""
22424315,삼광기물상사,,D,소매,D07,가정/주방/인테리어,D07A04,그릇판매,G47592,"식탁 및 주방용품 소매업",26,부산광역시,26110,중구,2611013000,신창동4가,"부산광역시 중구 신창동4가 39-1","부산광역시 중구 국제시장2길 29",600064,48945,""129.028330688102"",""35.1019671575551""
22449477,볼치자,,D,소매,D14,운동/경기용품소매,D14A06,골프용품판매,G47631,"운동 및 경기용품 소매업",11,서울특별시,11410,서대문구,1141010200,충정로3가,"서울특별시 서대문구 충정로3가 465","서울특별시 서대문구 서소문로 27",120013,3741,""126.964845533717"",""37.5602736986601""
